time,AdrActCnt,AdrBalCnt,BlkCnt,CapMVRVCur,CapMrktCurUSD,FeeTotNtv,HashRate,IssTotNtv,PriceUSD,TxCnt,TxTfrCnt,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,IssTotUSD,ROI1yr,ROI30d,SplyCur,SplyExNtv,volume_reported_spot_usd_1d
2010-07-18,860,52190,172,146.0383322,295959.152,0.79,0.0015522253285627,8600.0,0.08584,248,396,,,,,738.224,,,3447800.0,,5.0919941
2010-07-19,929,52311,174,62.56512971,279285.2,0.05,0.0015702744602902,8700.0,0.0808,334,512,,,,,702.96,,,3456500.0,,49.6613
2010-07-20,936,52456,181,45.10663005,259000.40498983045,0.0,0.0016334464213363,9050.0,0.0747357288135593,423,738,,,,,676.3583457627117,,,3465550.0,,20.58952
2010-07-21,784,52521,207,38.35756046,275266.47129701945,0.0,0.0018680851337935,10350.0,0.0791928626534191,247,377,,,,,819.6461284628876,,,3475900.0,,42.2622
2010-07-22,594,52715,176,25.1323482,203749.57397545307,0.0,0.0015883235920176,8800.0,0.0584697603740503,221,344,,,,,514.5338912916426,,,3484700.0,,129.78428
2010-07-23,655,52883,194,23.1909876,211735.7237638808,0.01,0.0017507657775649,9700.0,0.0605928696668615,220,335,,,,,587.7508357685566,,,3494400.0,,141.0650511
2010-07-24,959,52966,189,17.07191365,191099.979,0.0,0.0017056429482462,9450.0,0.05454,700,1112,,,,,515.403,,,3503850.0,,26.7277095
2010-07-25,2130,53048,231,14.29480012,177670.48975406183,2.91,0.0020846747145232,11550.0,0.050540618351841,1591,3102,,,,,583.7441419637636,,,3515400.0,,85.062975
2010-07-26,1250,52704,243,12.57111018,197542.8,1.5,0.002192969504888,12150.0,0.056,227,338,,,,,680.4,,,3527550.0,,46.907
2010-07-27,775,52755,166,12.41061061,207278.65656312092,0.67,0.0019903015433026,8300.0,0.058622016364699,259,408,,,,,486.5627358270017,,,3535850.0,,196.91835
2010-07-28,664,52836,159,11.86773641,208769.15183050855,1.05,0.0019302449215598,7950.0,0.0589110987726476,2860,286,,,,,468.3432352425484,,,3543800.0,,255.759194
2010-07-29,534,53020,180,13.54121185,248340.72,0.89,0.0021851829300677,9000.0,0.0699,619,279,,,,,629.1,,,3552800.0,,528.3183128
2010-07-30,582,53096,182,12.03290217,230303.12769257755,0.3,0.0022094627404018,9100.0,0.064657381648159,141,219,,,,,588.3821729982469,,,3561900.0,,198.5299149
2010-07-31,479,53232,203,12.05286591,241276.9711321448,0.31,0.0024644007489096,10150.0,0.0675457989479836,94,147,,,,,685.5898593220336,,,3572050.0,,243.898458
2010-08-01,622,53362,239,10.44892297,218982.4,0.29,0.0029014373349232,11950.0,0.0611,124,202,,,,,730.145,,,3584000.0,,162.6451925
2010-08-02,632,53481,242,9.9762043,215766.0,0.21,0.0029378570504243,12100.0,0.06,155,226,,,,,726.0,,,3596100.0,,221.20058
2010-08-03,988,53519,227,9.60461264,216490.8333638224,0.0,0.0027557584729187,11350.0,0.0600121507890123,424,754,,,,,681.1379114552896,,,3607450.0,,606.0456913
2010-08-04,715,53705,243,8.82883787,206374.31817650504,0.0,0.0029499969555914,12150.0,0.0570157802454705,193,321,,,,,692.7417299824666,,,3619600.0,,210.765111
2010-08-05,825,53822,218,9.19506028,221460.5,0.0,0.0028343136485242,10900.0,0.061,301,504,,,,,664.9,,,3630500.0,,303.609091
2010-08-06,640,53863,147,9.02581206,224350.99334716547,2.31,0.0025733862124124,7350.0,0.0616713150204559,213,351,,,,,453.2841654003509,,,3637850.0,,85.908
2010-08-07,500,53880,155,8.42875731,215104.78211572167,0.0,0.0027134344416594,7750.0,0.0590039450613676,113,162,,,,,457.2805742255989,,,3645600.0,,157.3408
2010-08-08,581,53993,199,8.47702357,222622.995,0.0,0.0034836997025175,9950.0,0.0609,191,314,,,,,605.955,,,3655550.0,,132.5954
2010-08-09,782,54076,190,9.28085443,258019.52,4.32,0.0033261454446147,9500.0,0.0704,235,364,,,,,668.8,,,3665050.0,,886.9327103
2010-08-10,590,54150,191,8.88387323,254792.092898305,0.0,0.0033436514732706,9550.0,0.0693387288135593,151,215,,,,,662.1848601694912,,,3674600.0,,88.8736329
2010-08-11,724,54212,233,8.33793184,246978.75,0.0,0.004078904676817,11650.0,0.067,184,259,,,,,780.55,,,3686250.0,,1015.6416825
2010-08-12,611,54406,217,8.49787609,258797.0,0.0,0.0037988082183231,10850.0,0.07,220,364,,,,,759.5,,,3697100.0,,134.4872288
2010-08-13,787,54465,215,7.56762836,239156.325,0.0,0.0037637961610114,10750.0,0.0645,247,417,,,,,693.375,,,3707850.0,,233.8004368
2010-08-14,564,54644,281,7.65189676,249354.02645599077,0.0,0.0049191940522987,14050.0,0.0669964336645237,156,213,,,,,941.2998929865581,,,3721900.0,,295.3084789
2010-08-15,472,54754,207,7.26649664,243036.4024661016,0.0,0.0040522040047167,10350.0,0.0651179322033898,130,179,,,,,673.9705983050844,,,3732250.0,,294.94926945
2010-08-16,760,54810,147,7.13837504,244943.8,0.67,0.003739738855449,7350.0,0.0655,298,444,,,,,481.425,,,3739600.0,,696.80254899
2010-08-17,486,54907,129,7.50985867,262223.5,0.0,0.0032818116486593,6450.0,0.07,188,286,,,,,451.5,,-18.452935694314995,3746050.0,,915.0003158
2010-08-18,709,54920,133,7.14796434,255183.6,1.56,0.0033835732501681,6650.0,0.068,231,371,,,,,452.2,,-15.841584158415834,3752700.0,,203.82833613
2010-08-19,471,55032,135,6.93168437,250755.315,0.0,0.0034344540509225,6750.0,0.0667,190,279,,,,,450.225,,-10.752191677431512,3759450.0,,50.0425085
2010-08-20,656,55105,193,6.69412905,246876.05,0.0,0.0049099972728004,9650.0,0.0655,230,344,,,,,632.075,,-17.290526184594132,3769100.0,,276.4108105
2010-08-21,526,55224,173,6.61775626,250842.6,0.0,0.0044011892652563,8650.0,0.0664,168,259,,,,,574.36,,13.562976101180077,3777750.0,,688.5147954
2010-08-22,586,55297,212,6.41568722,249762.08508182343,0.0,0.0053933648799672,10600.0,0.0659289888953828,153,219,,,,,698.8472822910577,,8.80651346909165,3788350.0,,1183.64149298
2010-08-23,655,55362,213,6.22495622,246593.09,0.0,0.0054188052803444,10650.0,0.06491,157,232,,,,,691.2915,,19.01356802346901,3799000.0,,281.877223
2010-08-24,638,55451,215,6.13247009,247633.75,0.8,0.0054696860810989,10750.0,0.065,166,254,,,,,698.75,,28.60942766370467,3809750.0,,444.65573957
2010-08-25,498,55597,216,6.02386076,247571.64,0.0,0.0054951264814761,10800.0,0.0648,149,211,,,,,699.84,,15.714285714285706,3820550.0,,278.8612816
2010-08-26,650,55600,210,5.87469011,245474.96536879012,0.0,0.0054201607479535,10500.0,0.0640751139684395,158,224,,,,,672.7886966686148,,9.302132444260728,3831050.0,,251.563028
2010-08-27,490,55671,171,5.87209239,249574.0,0.0,0.0052990734898342,8550.0,0.065,121,182,,,,,555.75,,10.335745477861424,3839600.0,,583.708613
2010-08-28,531,55775,170,5.77497614,248587.26,1.1e-06,0.0052680847559755,8500.0,0.0646,170,261,,,,,549.1,,-7.582260371959941,3848100.0,,399.4527639
2010-08-29,418,55912,162,5.66272908,246796.8,0.24,0.005020174885106,8100.0,0.064,111,167,,,,,518.4,,-1.0167155418328249,3856200.0,,204.8752337
2010-08-30,517,55996,149,5.69050244,251021.3405,0.35,0.0046173213449432,7450.0,0.06497,175,261,,,,,484.0265,,-3.813411030887647,3863650.0,,2134.99651286
2010-08-31,733,56000,184,5.19159819,232371.0,0.2200003,0.005701927029997,9200.0,0.06,254,360,,,,,552.0,,-1.8003273322422315,3872850.0,,933.22890492
2010-09-01,622,56081,157,5.31891315,240699.74841379313,0.0600002,0.0048652312158127,7850.0,0.0620248275862069,235,384,,,,,486.8948965517242,,3.374712643678171,3880700.0,,436.730099
2010-09-02,513,56121,156,5.38522542,246530.9,0.0,0.004834242481954,7800.0,0.0634,146,218,,,,,494.52,,5.645272109807442,3888500.0,,498.9765628
2010-09-03,503,56248,164,5.12179597,237114.195,0.0,0.0050821523528234,8200.0,0.06085,155,239,,,,,498.97,,6.724839576029661,3896700.0,,54.61025
2010-09-04,468,56336,181,5.18235949,242852.800948276,0.0,0.005608960828421,9050.0,0.062178275862069,96,150,,,,,562.7133965517245,,1.931599773883605,3905750.0,,202.26638
2010-09-05,534,56397,165,5.06897347,241298.1,0.01,0.0051131410866821,8250.0,0.06165,143,211,,,,,508.6125,,-0.0345622927755388,3914000.0,,527.96945246
2010-09-06,518,56446,158,5.03207272,241589.04,1e-07,0.0048962199496713,7900.0,0.0616,125,184,,,,,486.64,,4.39979892180489,3921900.0,,56.128
2010-09-07,408,56539,160,4.94816313,240663.61006247785,0.0,0.0049581974173887,8000.0,0.0612391180596142,120,166,,,,,489.9129444769136,,0.5568441044568061,3929900.0,,212.35224479
2010-09-08,535,56641,165,4.88836125,240227.15,2e-07,0.0057359961829143,8250.0,0.061,174,265,,,,,503.25,,-13.352272727272736,3938150.0,,143.36492
2010-09-09,530,56737,135,4.79545778,241092.44821946227,0.1100001,0.0047840893422885,6750.0,0.0611149707773232,204,321,,,,,412.5260527469316,,-11.860266516204048,3944900.0,,107.6759279
2010-09-10,529,56835,177,4.74669508,241224.31402250167,1e-07,0.0062724726932227,8850.0,0.0610115242548218,171,268,,,,,539.9519896551728,,-8.938023500265976,3953750.0,,301.79614516
2010-09-11,426,56940,160,4.91061134,252049.9618790181,0.0,0.0056700318130826,8000.0,0.0636208649912332,141,212,,,,,508.9669199298656,,-9.113050012524,3961750.0,,491.192371
2010-09-12,708,56913,177,4.69699949,244191.9,0.15,0.0062724726932227,8850.0,0.0615,199,306,,,,,544.275,,-4.651162790697678,3970600.0,,48.98673581
2010-09-13,722,56984,171,4.70641545,247423.547,1e-07,0.0060598465002321,8550.0,0.06218,267,406,,,,,531.639,,-7.189089629220247,3979150.0,,632.19595537
2010-09-14,680,57073,203,4.64512859,247296.707,0.00960352,0.0071938528628486,10150.0,0.06199,227,344,,,,,629.1985,,-4.803488221370399,3989300.0,,876.75528827
2010-09-15,666,57158,169,4.45428881,241464.1,0.0,0.0059889711025685,8450.0,0.0604,261,424,,,,,510.38,,-7.786259541984733,3997750.0,,223.27125883
2010-09-16,666,57180,219,4.47633904,248138.53,0.0,0.0077608560441568,10950.0,0.0619,211,300,,,,,677.805,,-11.571428571428584,4008700.0,,45.1686
2010-09-17,1008,56800,208,4.19274776,241148.11407948547,0.0,0.0073710413570074,10400.0,0.0600005260081823,155,212,,,,,624.0054704850959,,-11.763932340908388,4019100.0,,438.94275418
2010-09-18,573,56929,237,4.22048014,245887.95,0.18,0.0083987346231286,11850.0,0.061,165,231,,,,,722.85,,-8.545727136431779,4030950.0,,427.75509344
2010-09-19,667,56938,209,4.29534109,253395.78,0.0,0.0093319949516584,10450.0,0.0627,149,227,,,,,655.215,,-4.274809160305339,4041400.0,,797.36052362
2010-09-20,711,57056,203,4.22043399,251608.28778988915,0.0,0.0092619995657655,10150.0,0.0621017358270018,275,414,,,,,630.3326186440682,,-6.473289417165967,4051550.0,,891.1876315
2010-09-21,1227,57086,172,4.22602175,254368.3975,1e-07,0.0078476055434072,8600.0,0.06265,631,992,,,,,538.79,,-4.973516127459439,4060150.0,,359.8172192
2010-09-22,1056,57197,174,4.14162414,251788.04777206303,0.0,0.0079388567706562,8700.0,0.061881870251315,520,832,,,,,538.3722711864405,,-4.665120549507,4068850.0,,717.32508
2010-09-23,1027,57269,234,4.11497371,253620.51570017525,0.0,0.0106763935881238,11700.0,0.062153512565751,399,576,,,,,727.1960970192868,,-4.379211437306154,4080550.0,,970.0930669
2010-09-24,808,57377,228,4.07954667,254519.29,0.0,0.0104026399063771,11400.0,0.0622,268,394,,,,,709.08,,-4.012345679012343,4091950.0,,42.6571
2010-09-25,837,57417,207,4.03278411,254424.646,0.0,0.0094445020202633,10350.0,0.06202,332,493,,,,,641.907,,-3.2073512494285312,4102300.0,,133.05095
2010-09-26,634,57521,205,4.00070639,254978.1,0.0,0.0093532507930144,10250.0,0.062,206,321,,,,,635.5,,-4.615384615384619,4112550.0,,748.20160625
2010-09-27,1251,57251,229,3.91751164,256514.62217650507,0.02,0.0104482655200015,11450.0,0.0622004418468732,350,529,,,,,712.1950591466981,,-3.7144863051498542,4124000.0,,668.5254443
2010-09-28,1705,56333,212,3.70318762,255947.85551572172,1.44,0.0104098858028698,10600.0,0.0619038977206312,284,438,,,,,656.1813158386907,,-3.275159811513753,4134600.0,,439.04595529
2010-09-29,1203,56382,164,3.67369778,256480.748,0.0,0.010750436774287,8200.0,0.06191,812,1460,,,,,507.662,,-4.709866092042481,4142800.0,,1450.79045086
2010-09-30,640,56488,146,3.58697479,256891.19,0.0,0.0095705107868652,7300.0,0.0619,215,340,,,,,451.87,,3.1666666666666647,4150100.0,,488.14501265
2010-10-01,852,56577,154,3.57218676,257672.6443319696,0.56,0.0100949223368305,7700.0,0.0619733138515488,445,789,,,,,477.19451665692577,,-0.0830534104855084,4157800.0,,106.4618581
2010-10-02,798,56629,100,3.26607208,255595.92,0.00776813,0.0065551443745652,5000.0,0.0614,404,665,,,,,307.0,,-3.154574132492106,4162800.0,,802.51667662
2010-10-03,648,56694,122,3.2380791,254573.3302811221,0.00776625,0.0079972761369695,6100.0,0.0610648684979544,235,388,,,,,372.49569783752173,,0.3531117468437139,4168900.0,,439.88129455
2010-10-04,852,56631,153,3.23417646,255999.44755552293,9.9e-07,0.0100293708930848,7650.0,0.0612944769140853,258,433,,,,,468.90274839275247,,-1.4213950704330256,4176550.0,,2079.88766329
2010-10-05,688,56697,126,3.17003606,256826.99,0.0,0.0082594819119522,6300.0,0.0614,244,399,,,,,386.82,,-0.4055150040551503,4182850.0,,1699.19527154
2010-10-06,682,56771,171,3.22421336,263261.834,1.09e-06,0.0112092968805066,8550.0,0.06281,231,360,,,,,537.0255,,1.9642857142857189,4191400.0,,2091.2833326
2010-10-07,654,56779,160,3.40312006,281359.8,0.0,0.0104882309993044,8000.0,0.067,184,286,,,,,536.0,,9.407192857966674,4199400.0,,2812.79229395
2010-10-08,813,56691,154,4.14833833,355302.6711880769,0.0,0.0100949223368305,7700.0,0.0844531081239041,207,331,,,,,650.2889325540616,,38.447718235908354,4207100.0,,10784.22974509
2010-10-09,753,56701,158,4.40766563,395367.0,0.0,0.0103571281118131,7900.0,0.0938,245,395,,,,,741.02,,53.48121549753668,4215000.0,,16104.87300711
2010-10-10,631,56814,178,4.45879954,410335.8386236121,0.0,0.0116681569867261,8900.0,0.0971462010520164,186,299,,,,,864.6011893629459,,59.22598597319727,4223900.0,,4889.34882748
2010-10-11,632,56888,159,4.28117529,402025.75,1.09e-06,0.0104226795555587,7950.0,0.095,184,292,,,,,755.25,,49.32208169928335,4231850.0,,1395.228085
2010-10-12,643,56954,155,4.2360293,402338.04,0.0,0.0105175094359409,7750.0,0.0949,195,322,,,,,735.475,,54.3089430894309,4239600.0,,2396.8167869
2010-10-13,929,56775,176,4.55044647,445510.96885634033,0.35,0.0120563786888564,8800.0,0.104865589129164,187,310,,,,,922.8171843366432,,68.64842253001608,4248400.0,,4558.5239107
2010-10-14,626,56867,205,4.35844526,434382.3,0.0,0.014042941086452,10250.0,0.102,159,262,,,,,1045.5,,64.54266817228583,4258650.0,,3701.64502755
2010-10-15,582,56964,177,4.34353862,448087.5,0.0,0.0121248808404976,8850.0,0.105,152,249,,,,,929.25,,73.841059602649,4267500.0,,2554.90521892
2010-10-16,933,56894,258,4.06985428,432320.4,0.0,0.0176735551234372,12900.0,0.101,185,297,,,,,1302.9,,63.166397415185806,4280400.0,,633.63076692
2010-10-17,751,57020,270,4.06277933,437977.8,0.0,0.018495580943132,13500.0,0.102,186,297,,,,,1377.0,,69.99850965654902,4293900.0,,1857.80134986
2010-10-18,947,57142,249,4.02994877,440970.24,0.02,0.0170570357586661,12450.0,0.1024,328,534,,,,,1274.88,,67.86885245901641,4306350.0,,2591.6409552
2010-10-19,1411,57373,256,3.80761656,421311.0197466396,0.0,0.0175365508201548,12800.0,0.0975448918760959,671,1138,,,,,1248.5746160140277,,55.5739902330078,4319150.0,,623.33733
2010-10-20,1218,57500,264,3.8186494,428902.65,0.0,0.0180845680332846,13200.0,0.099,475,792,,,,,1306.8,,59.415833843657005,4332350.0,,3221.08376
2010-10-21,983,57532,186,4.00919854,464556.55,0.00776615,0.018337040329349,9300.0,0.107,350,568,,,,,995.1,,70.79010375099762,4341650.0,,4616.851667
2010-10-22,958,57598,154,3.82096178,445808.375,0.0,0.0164515818945875,7700.0,0.1025,439,715,,,,,789.25,,65.63817412713354,4349350.0,,3665.43402971
2010-10-23,838,57733,175,3.85485171,455667.3527996489,0.05,0.0186949794256676,8750.0,0.104556424313267,341,568,,,,,914.8687127410863,,68.22287268584985,4358100.0,,481.515121
2010-10-24,848,57900,205,4.14384219,502403.9335,0.0,0.0218998330414963,10250.0,0.11501,344,543,,,,,1178.8525,,84.90353697749197,4368350.0,,1560.60996
2010-10-25,763,57963,203,4.88883386,609130.5838421975,0.0,0.0216861761337744,10150.0,0.139118552893045,209,345,,,,,1412.0533118644069,,124.312403890753,4378500.0,,4450.000605
2010-10-26,900,58155,241,5.14523738,662973.05,0.0,0.0257456573804908,12050.0,0.151,280,488,,,,,1819.55,,143.54838709677418,4390550.0,,2995.09142
2010-10-27,1075,58244,213,6.05058402,826105.24,0.0,0.022754460672384,10650.0,0.1877,353,594,,,,,1999.005,,201.76634510424404,4401200.0,,11594.017888
2010-10-28,1012,58250,219,5.2615273,763743.165,0.0,0.0233954313955498,10950.0,0.1731,276,461,,,,,1895.445,,179.62698048706162,4412150.0,,4009.66975927
2010-10-29,829,58298,223,5.63366942,840427.0,0.0,0.0238227452109936,11150.0,0.19,234,375,,,,,2118.5,,206.89710870618643,4423300.0,,5380.4898858
2010-10-30,657,58407,252,5.72124637,876580.6100970218,0.0,0.0276237096817406,12600.0,0.197610543541789,174,268,,,,,2489.8928486265413,,219.24158892049925,4435900.0,,5112.034034
2010-10-31,609,58391,179,5.43761091,855633.625,0.0,0.0275107023258776,8950.0,0.1925,129,191,,,,,1722.875,,210.61756752449207,4444850.0,,7829.46048952
2010-11-01,565,58505,177,5.41406405,866356.2658129736,0.0,0.0272033201769851,8850.0,0.194525061367621,180,270,,,,,1721.546793103446,,216.81606085931756,4453700.0,,4049.753725
2010-11-02,446,58619,176,5.28311477,864832.5,0.0,0.0270496291025389,8800.0,0.1938,101,154,,,,,1705.44,,217.36742380193957,4462500.0,,1121.3397176
2010-11-03,578,58713,190,5.18370173,863543.2,0.0,0.0292013041447863,9500.0,0.1931,157,238,,,,,1834.45,,215.03654117264543,4472000.0,,11769.61462949
2010-11-04,632,58769,201,5.7153824,1027622.7341262402,0.0,0.030891905963695,10050.0,0.229275160724722,157,224,,,,,2304.215365283456,,273.4123138839121,4482050.0,,6229.16344661
2010-11-05,828,58723,219,6.25148898,1164192.0751724162,0.0,0.0336583453037274,10950.0,0.259112413793104,221,310,,,,,2837.2809310344887,,312.5336949420538,4493000.0,,8757.148192
