,abs_spearman_ic,permutation_importance,rank_ic,rank_perm,avg_rank
cycle_pos,0.4775062389519585,0.0377596235483729,2.0,2.0,2.0
exch_share_chg,0.2801724249769881,0.07003356393617599,5.0,1.0,3.0
adr_mom,0.2824540317315908,0.011185120107019487,4.0,5.0,4.5
mvrv,0.1725614787317607,0.013666549325418487,7.0,4.0,5.5
roi_1yr,0.2515992717064951,-0.0024273763911891954,6.0,7.0,6.5
ret_30,0.1486267218033962,0.01771607134069759,10.0,3.0,6.5
hash_mom,0.48957069827564925,-0.20341051416934358,1.0,15.0,8.0
fee_mom,0.3977884725518417,-0.07058342193580174,3.0,13.0,8.0
netflow_z,0.159753751388834,-0.005780492020670103,8.0,8.0,8.0
ret_7,0.08340198646671008,0.0031039638381002987,13.0,6.0,9.5
tx_mom,0.1556023557434106,-0.015773129463499826,9.0,11.0,10.0
vol_30,0.09031511697673966,-0.005859515993557274,12.0,9.0,10.5
vol_usd_mom,0.13262351773519537,-0.019079595380206184,11.0,12.0,11.5
ret_90,0.01606985034688632,-0.005954891810196816,15.0,10.0,12.5
drawdown,0.053142548698400696,-0.31096470302288104,14.0,16.0,15.0
ma_gap,0.00048791060937210517,-0.08242412241994276,16.0,14.0,15.0
