,abs_spearman_ic,permutation_importance,avg_rank
cycle_pos,0.43975709397780693,0.020686699828199328,2.5
exch_share_chg,0.23711740838182888,0.14419927315423062,4.5
fee_mom,0.41111391775735595,0.0025300859801402177,5.0
fg_z,0.28090131839946414,0.00851107198594372,5.5
hash_mom,0.46927227755240225,-0.04242068035590574,8.0
roi_1yr,0.15901612849340574,6.405683729502343e-05,9.5
adr_mom,0.3181303767251687,-0.021546118357939424,9.5
netflow_z,0.16766226321691113,-0.003420200725342104,9.5
tx_mom,0.1214845104215603,0.002911660332559407,9.5
ret_90,0.025335292125186093,0.011177062113483283,10.0
vol_usd_mom,0.20452240061219124,-0.008892191258369087,10.0
ret_30,0.17216563694374445,-0.006772609389947837,10.0
hash_mom_60,0.4469186434231279,-0.3034202975886222,10.5
fee_mom_60,0.4067043523461068,-0.12618714390687202,11.5
ret_7,0.09702616918291099,-0.006379385080371813,12.0
mvrv,0.13406187787272741,-0.0982948829221975,15.0
ma_gap,0.02532650481686891,-0.01976393863504593,15.0
drawdown,0.03412451987010645,-0.06258974654922685,16.0
vol_30,0.02241675244267602,-0.02649028694450819,16.5
