model,excluded_year,windows,win_rate
v5,none,2793,85.67848191908342
v5,2018,2428,83.52553542009885
v5,2019,2428,86.28500823723229
v5,2020,2427,86.15574783683559
v5,2021,2428,83.52553542009885
v5,2022,2428,83.52553542009885
v5,2023,2428,83.52553542009885
v5,2024,2427,93.4074989699217
v5,2025,2557,85.49080954243253
v6,none,2793,85.06981740064447
v6,2018,2428,82.82537067545304
v6,2019,2428,87.19110378912686
v6,2020,2427,84.01318500206015
v6,2021,2428,82.82537067545304
v6,2022,2428,82.82537067545304
v6,2023,2428,82.82537067545304
v6,2024,2427,92.58343634116193
v6,2025,2557,85.45170121235823
v7,none,2793,80.7375581811672
v7,2018,2428,77.84184514003294
v7,2019,2428,82.37232289950576
v7,2020,2427,77.99752781211372
v7,2021,2428,77.84184514003294
v7,2022,2428,77.84184514003294
v7,2023,2428,77.84184514003294
v7,2024,2427,87.26823238566132
v7,2025,2557,86.5858427845131
