,model,category,score_A,score_B,score_C,mean_ABC
1,"Candidate v5 (v4 signal, ceiling 12, round 6)",machine learning,60.618101868531525,75.57316921245406,60.32001849741204,65.50376319279921
2,"Candidate v4 (feature-prioritised ML, round 5)",machine learning,60.03147691739006,75.03611228441969,59.63351199085585,64.90036706422187
3,"Round 7 best (v4/v3 blend 0.75, negative round)",blend (ML + rules),60.762073751542715,73.60610664143451,59.56052357200964,64.6429013216623
4,"Round 8 best (hgbr depth 2, negative round)",machine learning,61.746408158250574,75.74235980406291,56.18847635289587,64.55908143840311
5,"Candidate v6 (v5 with asymmetric response, round 11)",machine learning,58.66219788211228,71.91345698504499,63.03569287810805,64.53711591508844
6,"Round 9 best (expanded features, negative round)",machine learning,61.738019502784674,73.58301256926283,57.44432053779904,64.25511753661551
7,"Candidate v7 (refined asymmetric response, round 12)",machine learning,57.53051990257973,69.63130653307786,64.42824630810523,63.86335758125427
8,Tournament 2025 reference,benchmark (rules),67.01520402900076,49.180553005847344,72.54607584830012,62.91394429438274
9,"Round 4 best (all-feature ridge, not a candidate)",machine learning,59.04545000286278,69.5191745578243,60.064202133552605,62.87627556474657
10,"Candidate v1 (drawdown-led, round 1)",rules,59.051242511979694,57.67515160012295,56.54632030267573,57.75757147159279
11,"Candidate v2 (MVRV + netflow, round 2)",rules,52.89446009523962,58.753429563288286,51.82012510502143,54.48933825451644
12,"Candidate v3 (refined MVRV + netflow, round 3b)",rules,53.70474419142738,61.2244319967611,48.38220872197509,54.43712830338785
13,"Round 10 best (synthesis committee, negative round)",machine learning,48.13806795996149,60.62489905360799,53.687482227329866,54.15014974696644
14,Upstream 2026 baseline (200-MA),benchmark (rules),51.741301709950605,56.6616901422592,51.25993307158937,53.22097497459972
15,Uniform DCA,benchmark (uniform),19.0772205229398,24.305133775725203,20.996836909441328,21.45973040270211
