model,regime,start,end,windows,win_rate,rw_spd_pct,score,uniform_rw_spd_pct,mean_pct,mean_excess
Final model,A,2018-01-01,2025-12-31,2557,78.06022682831443,40.04225819564496,59.051242511979694,38.15444104587961,44.089761787662574,5.38923306829662
Final model,B,2018-01-01,2026-08-23,2792,73.20916905444126,42.01754076551837,57.61335490997982,48.434146858419396,43.376987296081076,4.769168322660139
Final model,C,2016-01-01,2025-06-01,3075,67.2520325203252,45.84060808502625,56.546320302675724,41.993673818882655,43.77304727657363,4.431705024507663
Uniform DCA,A,2018-01-01,2025-12-31,2557,0.0,38.1544410458796,19.0772205229398,38.15444104587961,38.70052871936595,-1.3435565613610029e-15
Uniform DCA,B,2018-01-01,2026-08-23,2792,0.0,48.434146858419396,24.217073429209698,48.434146858419396,38.60781897342093,-1.3080908530827059e-15
Uniform DCA,C,2016-01-01,2025-06-01,3075,0.0,41.993673818882655,20.996836909441328,41.993673818882655,39.341342252065964,-1.193480725268591e-15
Upstream 2026 baseline (200-MA),A,2018-01-01,2025-12-31,2557,61.04810324599139,42.434500173909825,51.741301709950605,38.15444104587961,39.74166223852776,1.0411335191618118
Upstream 2026 baseline (200-MA),B,2018-01-01,2026-08-23,2792,64.32664756446992,48.8305626836601,56.57860512406501,48.434146858419396,39.88246721400809,1.2746482405871584
Upstream 2026 baseline (200-MA),C,2016-01-01,2025-06-01,3075,55.024390243902445,47.49547589927631,51.25993307158937,41.993673818882655,39.602804547508356,0.26146229544238186
Tournament 2025 reference,A,2018-01-01,2025-12-31,2557,78.06022682831443,55.970181229687086,67.01520402900076,38.15444104587961,44.364244740324835,5.663716020958889
Tournament 2025 reference,B,2018-01-01,2026-08-23,2792,73.38825214899714,24.63435884870521,49.01130549885117,48.434146858419396,43.08193769676927,4.474118723348337
Tournament 2025 reference,C,2016-01-01,2025-06-01,3075,77.91869918699187,67.17345250960835,72.54607584830012,41.993673818882655,43.92049376132099,4.579151509255028
