[  1/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 72.00 meanpct 41.60 sel 56.80 (7s)
[  2/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 72.00 meanpct 41.60 sel 56.80 (14s)
[  3/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 74.99 meanpct 42.53 sel 58.76 (21s)
[  4/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 74.99 meanpct 42.53 sel 58.76 (28s)
[  5/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 79.22 meanpct 42.39 sel 60.81 (35s)
[  6/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 79.22 meanpct 42.39 sel 60.81 (42s)
[  7/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 73.94 meanpct 43.32 sel 58.63 (49s)
[  8/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 73.94 meanpct 43.33 sel 58.64 (56s)
[  9/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 73.04 meanpct 43.17 sel 58.11 (63s)
[ 10/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 73.09 meanpct 43.33 sel 58.21 (70s)
[ 11/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 72.89 meanpct 43.91 sel 58.40 (77s)
[ 12/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 72.99 meanpct 44.24 sel 58.62 (83s)
[ 13/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 72.10 meanpct 43.81 sel 57.96 (90s)
[ 14/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 72.10 meanpct 43.82 sel 57.96 (97s)
[ 15/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 72.40 meanpct 44.37 sel 58.38 (104s)
[ 16/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 72.50 meanpct 44.58 sel 58.54 (111s)
[ 17/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 77.93 meanpct 44.43 sel 61.18 (118s)
[ 18/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 77.98 meanpct 44.64 sel 61.31 (125s)
[ 19/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 72.45 meanpct 44.72 sel 58.58 (132s)
[ 20/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 72.70 meanpct 45.38 sel 59.04 (138s)
[ 21/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 76.78 meanpct 44.81 sel 60.80 (145s)
[ 22/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 76.98 meanpct 45.43 sel 61.21 (152s)
[ 23/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 72.55 meanpct 44.96 sel 58.75 (159s)
[ 24/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 72.70 meanpct 46.04 sel 59.37 (166s)
[ 25/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 69.16 meanpct 44.54 sel 56.85 (173s)
[ 26/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 69.06 meanpct 46.06 sel 57.56 (180s)
