[  1/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 73.24 meanpct 40.06 sel 56.65 (31s)
[  2/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 73.24 meanpct 40.06 sel 56.65 (48s)
[  3/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 72.25 meanpct 42.38 sel 57.31 (70s)
[  4/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 72.25 meanpct 42.38 sel 57.31 (90s)
[  5/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.15 meanpct 43.71 sel 56.93 (104s)
[  6/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 70.30 meanpct 44.33 sel 57.32 (123s)
[  7/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 69.51 meanpct 41.04 sel 55.27 (140s)
[  8/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 69.51 meanpct 41.04 sel 55.27 (160s)
[  9/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 72.40 meanpct 43.21 sel 57.80 (178s)
[ 10/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 72.45 meanpct 43.21 sel 57.83 (201s)
[ 11/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.95 meanpct 43.88 sel 57.42 (218s)
[ 12/72] {'a_ma': 0.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 71.15 meanpct 44.98 sel 58.07 (235s)
[ 13/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 72.00 meanpct 40.90 sel 56.45 (253s)
[ 14/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 72.00 meanpct 40.90 sel 56.45 (271s)
[ 15/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 72.30 meanpct 42.79 sel 57.55 (289s)
[ 16/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 72.40 meanpct 43.01 sel 57.70 (310s)
[ 17/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.30 meanpct 43.41 sel 56.86 (335s)
[ 18/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 70.00 meanpct 44.57 sel 57.29 (375s)
[ 19/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 68.96 meanpct 41.81 sel 55.39 (416s)
[ 20/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 68.96 meanpct 41.81 sel 55.39 (457s)
[ 21/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 70.15 meanpct 43.11 sel 56.63 (497s)
[ 22/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 70.15 meanpct 43.76 sel 56.96 (538s)
[ 23/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.95 meanpct 43.80 sel 57.37 (577s)
[ 24/72] {'a_ma': 0.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 70.10 meanpct 44.82 sel 57.46 (617s)
[ 25/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 69.51 meanpct 42.00 sel 55.75 (658s)
[ 26/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 68.81 meanpct 42.25 sel 55.53 (698s)
[ 27/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 70.55 meanpct 42.90 sel 56.73 (739s)
[ 28/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 69.06 meanpct 43.55 sel 56.31 (779s)
[ 29/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.85 meanpct 43.45 sel 57.15 (819s)
[ 30/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 69.46 meanpct 44.35 sel 56.91 (859s)
[ 31/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 68.16 meanpct 42.62 sel 55.39 (899s)
[ 32/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 66.62 meanpct 42.98 sel 54.80 (939s)
[ 33/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 68.31 meanpct 43.25 sel 55.78 (979s)
[ 34/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 67.02 meanpct 44.07 sel 55.54 (1019s)
[ 35/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 68.46 meanpct 43.81 sel 56.14 (1060s)
[ 36/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 67.36 meanpct 44.83 sel 56.10 (1101s)
[ 37/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 75.04 meanpct 40.66 sel 57.85 (1141s)
[ 38/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 75.04 meanpct 40.66 sel 57.85 (1181s)
[ 39/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 72.75 meanpct 42.66 sel 57.70 (1221s)
[ 40/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 72.85 meanpct 42.86 sel 57.85 (1261s)
[ 41/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.15 meanpct 43.38 sel 56.77 (1300s)
