model,parameter,value,dev_selection,delta
v5,base,registered,73.12480339564198,0.0
v5,a_ml,1.5,72.33845719056079,-0.7863462050811876
v5,a_ml,2.5,73.34887863949054,0.22407524384856004
v5,m_max,8.0,72.49053650910737,-0.6342668865346042
v5,m_max,16.0,73.32194073733737,0.1971373416953952
v6,base,registered,73.41457222323967,0.0
v6,a_pos,2.0,72.89885960471413,-0.5157126185255407
v6,a_pos,4.0,74.00606883600555,0.5914966127658801
v6,a_neg,0.5,73.52063019910054,0.10605797586086396
v6,a_neg,1.5,73.46817039748099,0.05359817424131563
v6,m_max,8.0,72.7875939875473,-0.626978235692377
v6,m_max,16.0,73.8632250931349,0.448652869895227
v7,base,registered,74.79530223391859,0.0
v7,a_pos,4.0,74.36941225566717,-0.42588997825141917
v7,a_pos,6.0,72.05493414203043,-2.7403680918881577
v7,a_neg,0.5,69.29963135365604,-5.495670880262551
v7,a_neg,1.5,74.77287688507153,-0.022425348847065152
v7,m_max,12.0,74.48180436739787,-0.31349786652072
v7,m_max,20.0,74.48616279510199,-0.3091394388166009
