window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2018-01-01 → 2019-01-01,5846.725992123569,31396.444360089477,14767.937007549512,12846.5627823082,34.917062047193866,27.39692347826811,-7.520138568925756
2018-01-02 → 2019-01-02,5846.725992123569,31396.444360089477,14817.734901493854,12860.586796035293,35.11196789009653,27.451812591036866,-7.660155299059664
2018-01-03 → 2019-01-03,5846.725992123569,31396.444360089477,14871.414334433759,12876.524889527438,35.32206583390482,27.51419329231351,-7.807872541591312
2018-01-04 → 2019-01-04,5846.725992123569,31396.444360089477,14924.595887742842,12890.362408925725,35.53021510797182,27.56835247794131,-7.9618626300305095
2018-01-05 → 2019-01-05,5846.725992123569,31396.444360089477,14978.393221092227,12903.954832544141,35.74077450661018,27.62155237401319,-8.119222132596988
2018-01-06 → 2019-01-06,5846.725992123569,31396.444360089477,15029.848123319223,12918.585683587167,35.942165776314,27.678816610089356,-8.263349166224643
2018-01-07 → 2019-01-07,6160.786042591422,31396.444360089477,15082.162088862544,12930.716706219957,35.35226200176107,26.82684389863671,-8.525418103124359
2018-01-08 → 2019-01-08,6694.598724167442,31396.444360089477,15133.761560768795,12942.675523341106,34.16409834708429,25.293967468113216,-8.870130878971075
2018-01-09 → 2019-01-09,6817.056260699874,31396.444360089477,15183.703666276037,12955.552916498891,34.039282718286785,24.97416384401961,-9.065118874267174
2018-01-10 → 2019-01-10,6817.056260699874,31396.444360089477,15240.013345709338,12970.228305833212,34.2683758072018,25.033869924882897,-9.234505882318903
2018-01-11 → 2019-01-11,7026.801947562095,31396.444360089477,15296.777098955032,12986.301115600494,33.935562169519976,24.454602440021347,-9.480959729498629
2018-01-12 → 2019-01-12,7026.801947562095,31396.444360089477,15351.595912800987,13000.816748971682,34.16050931038477,24.51416684858126,-9.646342461803506
2018-01-13 → 2019-01-13,7026.801947562095,31396.444360089477,15409.65302451156,13019.108438179817,34.39874469655821,24.589226174025992,-9.809518522532219
2018-01-14 → 2019-01-14,7309.372233038978,31396.444360089477,15464.964100450088,13036.521724977169,33.858792900994125,23.776860308009088,-10.081932592985037
2018-01-15 → 2019-01-15,7357.43343237105,31396.444360089477,15521.285148390121,13052.627844560164,33.9608469773008,23.691467295862044,-10.269379681438753
2018-01-16 → 2019-01-16,7831.832029555435,31396.444360089477,15576.93143254672,13069.876723393316,32.86750188949855,22.22843567449926,-10.63906621499929
2018-01-17 → 2019-01-17,7831.832029555435,31396.444360089477,15628.088379484641,13084.746141773727,33.08459413875926,22.291536302559003,-10.793057836200255
2018-01-18 → 2019-01-18,7831.832029555435,31396.444360089477,15679.302430922477,13103.698347783822,33.3019287196107,22.371962858040835,-10.929965861569865
2018-01-19 → 2019-01-19,7831.832029555435,31396.444360089477,15729.105932213028,13123.648709120227,33.51327741736126,22.456625236766047,-11.056652180595211
2018-01-20 → 2019-01-20,7831.832029555435,31396.444360089477,15782.441961476794,13143.865767909789,33.73961693237486,22.542419386510517,-11.197197545864341
2018-01-21 → 2019-01-21,8608.846026879573,31396.444360089477,15838.320986993534,13166.29685070755,31.725480036998714,19.999697893507694,-11.72578214349102
2018-01-22 → 2019-01-22,8608.846026879573,31396.444360089477,15890.777944238658,13182.976515547667,31.955679623976142,20.072894132076676,-11.882785491899465
2018-01-23 → 2019-01-23,8608.846026879573,31396.444360089477,15942.255294832687,13201.292944288187,32.18158035226398,20.153273066586095,-12.028307285677883
2018-01-24 → 2019-01-24,8608.846026879573,31396.444360089477,15993.657012582125,13221.793227041373,32.407149177016024,20.24323552095896,-12.163913656057062
2018-01-25 → 2019-01-25,8608.846026879573,31396.444360089477,16046.0375068684,13243.052090852021,32.637013217624194,20.33652689594193,-12.300486321682264
2018-01-26 → 2019-01-26,8608.846026879573,31396.444360089477,16098.302295751626,13263.070882688293,32.86636950220929,20.424376398744062,-12.441993103465226
2018-01-27 → 2019-01-27,8608.846026879573,31396.444360089477,16150.777758729811,13283.207848043407,33.096650298855195,20.51274448852984,-12.583905810325355
2018-01-28 → 2019-01-28,8608.846026879573,31396.444360089477,16206.183417871507,13304.433698400733,33.33978982734578,20.605890988862846,-12.733898838482936
2018-01-29 → 2019-01-29,8665.013949999768,31396.444360089477,16263.120821486695,13325.600831502172,33.42555542881448,20.502831530714968,-12.922723898099509
2018-01-30 → 2019-01-30,8665.013949999768,31396.444360089477,16318.052228249458,13345.02197256971,33.667209410863855,20.588268921662955,-13.0789404892009
2018-01-31 → 2019-01-31,8665.013949999768,31396.444360089477,16370.740107389045,13362.492819317473,33.89899367691779,20.665126587162124,-13.233867089755666
2018-02-01 → 2019-02-01,8665.013949999768,31396.444360089477,16422.86306342347,13383.199675899505,34.128292735947916,20.756220091655535,-13.37207264429238
2018-02-02 → 2019-02-02,8665.013949999768,31396.444360089477,16471.561060409345,13399.314747223612,34.34252473150355,20.827113436391794,-13.515411295111758
2018-02-03 → 2019-02-03,8665.013949999768,31396.444360089477,16520.517091256683,13416.155195385689,34.557891868389085,20.901197855446224,-13.656694012942861
2018-02-04 → 2019-02-04,8665.013949999768,31396.444360089477,16570.689764359973,13435.713126528102,34.77861125207125,20.987237012637724,-13.791374239433527
2018-02-05 → 2019-02-05,8665.013949999768,31396.444360089477,16617.313149117315,13448.982482770898,34.983716623428116,21.04561150119127,-13.938105122236845
2018-02-06 → 2019-02-06,8665.013949999768,31396.444360089477,16658.559183737878,13449.617178488877,35.1651659817679,21.048403651559855,-14.116762330208044
2018-02-07 → 2019-02-07,8665.013949999768,31396.444360089477,16704.596683327505,13461.46894784549,35.36769392989559,21.10054189866001,-14.267152031235579
