window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2016-01-01 → 2017-01-01,100275.01847945956,272969.2071151107,186496.47341994694,210324.30476625302,49.927247478139954,63.72495053610321,13.797703057963254
2016-01-02 → 2017-01-02,98320.88709000811,272969.2071151107,186137.52393541028,210056.85050810216,50.28198200405254,63.977691512883716,13.695709508831179
2016-01-03 → 2017-01-03,96842.07173230938,272969.2071151107,185774.20138438346,209787.7681353504,50.493144885815376,64.12736808417431,13.634223198358931
2016-01-04 → 2017-01-04,88144.83325140158,272969.2071151107,185380.9052563922,209493.63217983436,52.60998318148948,65.6562748687661,13.046291687276621
2016-01-05 → 2017-01-05,88144.83325140158,272969.2071151107,185024.61791834253,209226.48734636809,52.41721242804308,65.51173504001859,13.094522611975513
2016-01-06 → 2017-01-06,88144.83325140158,272969.2071151107,184700.1657403096,208971.9526513314,52.241666220986986,65.37401797937574,13.13235175838875
2016-01-07 → 2017-01-07,88144.83325140158,272969.2071151107,184369.08755776478,208697.59639311704,52.06253498649463,65.22557637912627,13.163041392631634
2016-01-08 → 2017-01-08,88144.83325140158,272969.2071151107,184074.33291946893,208491.59206055957,51.90305675744179,65.1141168739479,13.211060116506118
2016-01-09 → 2017-01-09,88144.83325140158,272969.2071151107,183775.91467847806,208279.40170155436,51.741596320837836,64.99931039330392,13.25771407246608
2016-01-10 → 2017-01-10,88144.83325140158,272969.2071151107,183470.78072528774,208054.46563457587,51.57650232007832,64.87760779408703,13.301105474008708
2016-01-11 → 2017-01-11,88144.83325140158,272969.2071151107,183209.00233455587,207839.45235903043,51.43486602760268,64.76127396264984,13.326407935047158
2016-01-12 → 2017-01-12,88144.83325140158,272969.2071151107,182939.78740908127,207622.0691320136,51.28920616692157,64.64365785906323,13.354451692141652
2016-01-13 → 2017-01-13,88144.83325140158,272969.2071151107,182652.5746569847,207383.98561012244,51.13380850692011,64.51484177441267,13.381033267492562
2016-01-14 → 2017-01-14,88144.83325140158,272969.2071151107,182354.5620087385,207116.2841000106,50.97256751796593,64.3700007534393,13.397433235473372
2016-01-15 → 2017-01-15,88144.83325140158,272969.2071151107,182051.08767611842,206835.29839414178,50.808371461852765,64.21797226282689,13.409600800974125
2016-01-16 → 2017-01-16,88144.83325140158,272969.2071151107,181638.25567589968,206349.98478078324,50.585006982596816,63.95539130382609,13.370384321229274
2016-01-17 → 2017-01-17,88144.83325140158,272969.2071151107,181236.85877774152,205849.95582228765,50.3678295131067,63.68484854583233,13.317019032725632
2016-01-18 → 2017-01-18,88144.83325140158,272969.2071151107,180833.65376554205,205350.79153346797,50.149673755957046,63.414773620980824,13.265099865023778
2016-01-19 → 2017-01-19,88144.83325140158,272969.2071151107,180427.6621177894,204849.16982542773,49.930010277993894,63.14336909918862,13.213358821194724
2016-01-20 → 2017-01-20,88144.83325140158,272969.2071151107,180011.51207552457,204319.52622597144,49.7048505582203,62.85680321592104,13.15195265770074
2016-01-21 → 2017-01-21,88144.83325140158,272969.2071151107,179658.4539306847,203943.98768841554,49.51382697325729,62.65361652051645,13.139789547259163
2016-01-22 → 2017-01-22,88144.83325140158,272969.2071151107,179288.1118690071,203566.54328348435,49.31345185284666,62.44939864760241,13.135946794755746
2016-01-23 → 2017-01-23,88144.83325140158,272969.2071151107,178869.48798663827,203074.91512756504,49.08695365154475,62.18340117895585,13.096447527411094
2016-01-24 → 2017-01-24,88144.83325140158,272969.2071151107,178471.19459783638,202564.9239394528,48.87145534876376,61.90746831498829,13.036012966224533
2016-01-25 → 2017-01-25,88144.83325140158,272969.2071151107,178100.02753893973,202126.83224033244,48.67063386015948,61.670436970062205,12.999803109902729
2016-01-26 → 2017-01-26,88144.83325140158,272969.2071151107,177702.15213039084,201663.21889072584,48.455361707341424,61.41959702946623,12.964235322124807
2016-01-27 → 2017-01-27,88144.83325140158,272969.2071151107,177301.55531699804,201177.1811850258,48.238617127057765,61.15662429727755,12.918007170219788
2016-01-28 → 2017-01-28,88144.83325140158,272969.2071151107,176906.36533985625,200700.3948340501,48.02479793812697,60.89865704923086,12.87385911110389
2016-01-29 → 2017-01-29,88144.83325140158,272969.2071151107,176484.82036363002,200163.87592959014,47.796719266784045,60.60837125345396,12.811651986669915
2016-01-30 → 2017-01-30,88144.83325140158,272969.2071151107,176061.94953927456,199598.1147476374,47.56792323976908,60.302263801213954,12.734340561444874
2016-01-31 → 2017-01-31,88144.83325140158,272969.2071151107,175621.03759689184,199018.21414312551,47.329365990437964,59.98850615529897,12.659140164861007
2016-02-01 → 2017-02-01,88144.83325140158,271666.63190916245,175153.1718576791,198378.9889430421,47.41035628608583,60.06597390493638,12.655617618850549
2016-02-02 → 2017-02-02,88144.83325140158,271666.63190916245,174689.56397988112,197734.82984149177,47.15773895060378,59.71497521907912,12.557236268475343
2016-02-03 → 2017-02-03,88144.83325140158,271666.63190916245,174227.28691707904,197105.19178935868,46.90584676875776,59.37188897170245,12.466042202944685
2016-02-04 → 2017-02-04,88144.83325140158,269676.7261346181,173750.62530778316,196450.64169344836,47.15743922278918,59.66213799782405,12.504698775034868
2016-02-05 → 2017-02-05,88144.83325140158,269676.7261346181,173320.03043205698,195884.05382137222,46.92023854753197,59.350023215634984,12.42978466810301
2016-02-06 → 2017-02-06,88144.83325140158,269676.7261346181,172877.45448803622,195327.09094500975,46.67643789245618,59.04321052971165,12.366772637255472
