window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2025-09-01 → 2026-09-01,801.1250765566017,1708.6693076829465,1264.7732911823393,1338.403164285518,51.08822233934627,59.20131155063433,8.113089211288063
2025-09-02 → 2026-09-02,801.1250765566017,1708.6693076829465,1265.8061616965144,1338.3414450809141,51.20203172502141,59.19451086781502,7.992479142793606
2025-09-03 → 2026-09-03,801.1250765566017,1708.6693076829465,1266.7108425350289,1338.2722391627622,51.30171621504254,59.18688524299384,7.885169027951299
2025-09-04 → 2026-09-04,801.1250765566017,1708.6693076829465,1267.6955067689394,1337.9284545655464,51.4102138728028,59.149004489039946,7.7387906162371465
2025-09-05 → 2026-09-05,801.1250765566017,1708.6693076829465,1268.6549404964594,1337.665183040291,51.51593144497328,59.11999526654411,7.604063821570826
2025-09-06 → 2026-09-06,801.1250765566017,1708.6693076829465,1269.5887372077264,1337.3077886810258,51.61882413926192,59.080614887383796,7.461790748121878
2025-09-07 → 2026-09-07,801.1250765566017,1708.6693076829465,1270.5657102343596,1336.988010414027,51.72647432237428,59.045379330147995,7.318905007773715
2025-09-08 → 2026-09-08,801.1250765566017,1708.6693076829465,1271.5940097996693,1336.90865471035,51.839780046772255,59.03663532616942,7.1968552793971625
2025-09-09 → 2026-09-09,801.1250765566017,1708.6693076829465,1272.6505324734878,1336.7969108805569,51.956195604007114,59.02432255661388,7.068126952606768
2025-09-10 → 2026-09-10,801.1250765566017,1708.6693076829465,1273.7631622085296,1336.77478979638,52.07879345619785,59.02188509038159,6.943091634183737
2025-09-11 → 2026-09-11,801.1250765566017,1708.6693076829465,1274.9052379012953,1336.8853166426632,52.20463588388298,59.0340637636068,6.8294278797238235
2025-09-12 → 2026-09-12,801.1250765566017,1708.6693076829465,1276.0753218927523,1337.0498652415813,52.333564475055304,59.05219495691667,6.718630481861368
2025-09-13 → 2026-09-13,801.1250765566017,1708.6693076829465,1277.282460295829,1337.1525519898798,52.46657599798444,59.063509749604094,6.596933751619652
2025-09-14 → 2026-09-14,801.1250765566017,1708.6693076829465,1278.4167792308008,1337.392610056375,52.59156372817628,59.089961139879264,6.498397411702982
