window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2018-01-01 → 2019-01-01,5846.725992123569,31396.444360089477,14767.937007549512,17330.781831060413,34.917062047193866,44.94787642487476,10.03081437768089
2018-01-02 → 2019-01-02,5846.725992123569,31396.444360089477,14817.734901493854,17329.69402626025,35.11196789009653,44.94361882491027,9.831650934813737
2018-01-03 → 2019-01-03,5846.725992123569,31396.444360089477,14871.414334433759,17436.23780318543,35.32206583390482,45.36062450532812,10.038558671423296
2018-01-04 → 2019-01-04,5846.725992123569,31396.444360089477,14924.595887742842,17465.363260541446,35.53021510797182,45.47461972412682,9.944404616154998
2018-01-05 → 2019-01-05,5846.725992123569,31396.444360089477,14978.393221092227,17531.442426821843,35.74077450661018,45.733249448841306,9.992474942231127
2018-01-06 → 2019-01-06,5846.725992123569,31396.444360089477,15029.848123319223,17442.54582543992,35.942165776314,45.38531370997468,9.443147933660683
2018-01-07 → 2019-01-07,6160.786042591422,31396.444360089477,15082.162088862544,17496.248178457143,35.35226200176107,44.9184324547851,9.566170453024029
2018-01-08 → 2019-01-08,6694.598724167442,31396.444360089477,15133.761560768795,17538.266231756956,34.16409834708429,43.89820771861834,9.734109371534046
2018-01-09 → 2019-01-09,6817.056260699874,31396.444360089477,15183.703666276037,17570.601789983102,34.039282718286785,43.75025727166202,9.710974553375237
2018-01-10 → 2019-01-10,6817.056260699874,31396.444360089477,15240.013345709338,17849.12496959152,34.2683758072018,44.8834147712799,10.615038964078103
2018-01-11 → 2019-01-11,7026.801947562095,31396.444360089477,15296.777098955032,17928.737025776154,33.935562169519976,44.735720342822276,10.8001581733023
2018-01-12 → 2019-01-12,7026.801947562095,31396.444360089477,15351.595912800987,18002.29789255915,34.16050931038477,45.03757486139814,10.877065551013374
