window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2018-01-01 → 2019-01-01,5846.725992123569,31396.444360089477,14767.937007549512,15942.628173311668,34.917062047193866,39.51472981340681,4.597667766212943
2018-01-02 → 2019-01-02,5846.725992123569,31396.444360089477,14817.734901493854,15974.957983426026,35.11196789009653,39.64126666852491,4.529298778428384
2018-01-03 → 2019-01-03,5846.725992123569,31396.444360089477,14871.414334433759,16028.990095051893,35.32206583390482,39.85274497465612,4.530679140751296
2018-01-04 → 2019-01-04,5846.725992123569,31396.444360089477,14924.595887742842,16068.799085032719,35.53021510797182,40.00855487207846,4.478339764106643
2018-01-05 → 2019-01-05,5846.725992123569,31396.444360089477,14978.393221092227,16115.44283645886,35.74077450661018,40.19111559840186,4.450341091791678
2018-01-06 → 2019-01-06,5846.725992123569,31396.444360089477,15029.848123319223,16130.279919458839,35.942165776314,40.249187013461295,4.307021237147296
2018-01-07 → 2019-01-07,6160.786042591422,31396.444360089477,15082.162088862544,16170.183097716515,35.35226200176107,39.66370494160922,4.311442939848149
2018-01-08 → 2019-01-08,6694.598724167442,31396.444360089477,15133.761560768795,16208.984138255066,34.16409834708429,38.51690094059842,4.352802593514127
2018-01-09 → 2019-01-09,6817.056260699874,31396.444360089477,15183.703666276037,16245.689228066054,34.039282718286785,38.35991737971837,4.320634661431583
2018-01-10 → 2019-01-10,6817.056260699874,31396.444360089477,15240.013345709338,16335.367000293896,34.2683758072018,38.724766870133756,4.4563910629319565
2018-01-11 → 2019-01-11,7026.801947562095,31396.444360089477,15296.777098955032,16390.514184703537,33.935562169519976,38.423675155479344,4.4881129859593685
2018-01-12 → 2019-01-12,7026.801947562095,31396.444360089477,15351.595912800987,16442.833988565133,34.16050931038477,38.6383676937445,4.477858383359731
2018-01-13 → 2019-01-13,7026.801947562095,31396.444360089477,15409.65302451156,16510.189256582064,34.39874469655821,38.91475774853786,4.516013051979648
2018-01-14 → 2019-01-14,7309.372233038978,31396.444360089477,15464.964100450088,16539.585069582292,33.858792900994125,38.32019428454117,4.461401383547042
2018-01-15 → 2019-01-15,7357.43343237105,31396.444360089477,15521.285148390121,16597.264545906626,33.9608469773008,38.436818974450794,4.475971997149998
2018-01-16 → 2019-01-16,7831.832029555435,31396.444360089477,15576.93143254672,16642.188629481054,32.86750188949855,37.38808207979524,4.520580190296691
2018-01-17 → 2019-01-17,7831.832029555435,31396.444360089477,15628.088379484641,16682.448306568167,33.08459413875926,37.558930114646834,4.474335975887577
2018-01-18 → 2019-01-18,7831.832029555435,31396.444360089477,15679.302430922477,16730.863736987612,33.3019287196107,37.76438832350822,4.462459603897521
2018-01-19 → 2019-01-19,7831.832029555435,31396.444360089477,15729.105932213028,16763.117868636928,33.51327741736126,37.90126361429127,4.387986196930008
2018-01-20 → 2019-01-20,7831.832029555435,31396.444360089477,15782.441961476794,16827.10730863053,33.73961693237486,38.172812490614966,4.433195558240108
2018-01-21 → 2019-01-21,8608.846026879573,31396.444360089477,15838.320986993534,16878.38773800336,31.725480036998714,36.28965891974682,4.564178882748106
2018-01-22 → 2019-01-22,8608.846026879573,31396.444360089477,15890.777944238658,16921.163009169206,31.955679623976142,36.47737186141082,4.5216922374346815
2018-01-23 → 2019-01-23,8608.846026879573,31396.444360089477,15942.255294832687,16969.26861813935,32.18158035226398,36.68847620100259,4.506895848738608
2018-01-24 → 2019-01-24,8608.846026879573,31396.444360089477,15993.657012582125,17013.373725279554,32.407149177016024,36.882024930865555,4.474875753849531
2018-01-25 → 2019-01-25,8608.846026879573,31396.444360089477,16046.0375068684,17058.866218213934,32.637013217624194,37.08166199778752,4.444648780163327
2018-01-26 → 2019-01-26,8608.846026879573,31396.444360089477,16098.302295751626,17103.93224644696,32.86636950220929,37.27942758753529,4.413058085326
2018-01-27 → 2019-01-27,8608.846026879573,31396.444360089477,16150.777758729811,17150.88650107995,33.096650298855195,37.48547937915635,4.388829080301157
2018-01-28 → 2019-01-28,8608.846026879573,31396.444360089477,16206.183417871507,17210.079421342663,33.33978982734578,37.7452387421097,4.405448914763916
2018-01-29 → 2019-01-29,8665.013949999768,31396.444360089477,16263.120821486695,17267.56860754457,33.42555542881448,37.844317327810664,4.418761898996188
2018-01-30 → 2019-01-30,8665.013949999768,31396.444360089477,16318.052228249458,17315.217691937905,33.667209410863855,38.05393495210318,4.386725541239322
2018-01-31 → 2019-01-31,8665.013949999768,31396.444360089477,16370.740107389045,17368.078680850635,33.89899367691779,38.28648076184362,4.38748708492583
2018-02-01 → 2019-02-01,8665.013949999768,31396.444360089477,16422.86306342347,17414.05973706821,34.128292735947916,38.48876040455879,4.360467668610873
2018-02-02 → 2019-02-02,8665.013949999768,31396.444360089477,16471.561060409345,17458.491457717428,34.34252473150355,38.68422421764771,4.341699486144158
2018-02-03 → 2019-02-03,8665.013949999768,31396.444360089477,16520.517091256683,17509.754449746117,34.557891868389085,38.90974012713458,4.351848258745498
2018-02-04 → 2019-02-04,8665.013949999768,31396.444360089477,16570.689764359973,17558.49862195275,34.77861125207125,39.12417525650064,4.3455640044293915
2018-02-05 → 2019-02-05,8665.013949999768,31396.444360089477,16617.313149117315,17603.21496867671,34.983716623428116,39.320891195257026,4.3371745718289105
2018-02-06 → 2019-02-06,8665.013949999768,31396.444360089477,16658.559183737878,17653.81790470585,35.1651659817679,39.54350338954586,4.378337407777963
2018-02-07 → 2019-02-07,8665.013949999768,31396.444360089477,16704.596683327505,17703.248044318414,35.36769392989559,39.760956223445056,4.393262293549469
2018-02-08 → 2019-02-08,8665.013949999768,31396.444360089477,16744.395500324565,17720.304268279633,35.542776695384,39.83598988236363,4.293213186979628
2018-02-09 → 2019-02-09,8665.013949999768,31396.444360089477,16786.600650381373,17750.884417794787,35.728445389766186,39.97051792993243,4.242072540166241
2018-02-10 → 2019-02-10,8665.013949999768,31396.444360089477,16830.07205179181,17781.576367911595,35.919684571050354,40.105537810173594,4.18585323912324
2018-02-11 → 2019-02-11,8665.013949999768,31396.444360089477,16874.13606309631,17819.959741764294,36.11353075894772,40.2743937649474,4.16086300599968
2018-02-12 → 2019-02-12,8665.013949999768,31396.444360089477,16916.542539457067,17855.85551987301,36.30008512704386,40.43230630041539,4.1322211733715335
2018-02-13 → 2019-02-13,8665.013949999768,31396.444360089477,16962.272753047957,17893.86786666962,36.50126126407478,40.599530034737626,4.098268770662848
2018-02-14 → 2019-02-14,8665.013949999768,31396.444360089477,17006.926162285872,17932.460804092934,36.69770032854339,40.769307900569515,4.0716075720261244
2018-02-15 → 2019-02-15,8665.013949999768,31396.444360089477,17054.70693806179,17970.760412825515,36.90789728893666,40.937795356227305,4.029898067290645
2018-02-16 → 2019-02-16,8665.013949999768,31396.444360089477,17103.89180953251,18007.45069250594,37.124271140398676,41.09920305921172,3.9749319188130414
