window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2018-01-01 → 2019-01-01,5846.725992123569,31396.444360089477,14767.937007549512,11775.072433145288,34.917062047193866,23.203177254801545,-11.71388479239232
2018-01-02 → 2019-01-02,5846.725992123569,31396.444360089477,14817.734901493854,11760.41392513014,35.11196789009653,23.14580477106597,-11.966163119030561
2018-01-03 → 2019-01-03,5846.725992123569,31396.444360089477,14871.414334433759,11810.99834681655,35.32206583390482,23.34378903436741,-11.978276799537412
2018-01-04 → 2019-01-04,5846.725992123569,31396.444360089477,14924.595887742842,11860.084681748738,35.53021510797182,23.535909879792197,-11.994305228179623
2018-01-05 → 2019-01-05,5846.725992123569,31396.444360089477,14978.393221092227,11516.775872968254,35.74077450661018,22.19222067024332,-13.54855383636686
2018-01-06 → 2019-01-06,5846.725992123569,31396.444360089477,15029.848123319223,11952.653592354587,35.942165776314,23.898218807321946,-12.043946968992053
2018-01-07 → 2019-01-07,6160.786042591422,31396.444360089477,15082.162088862544,12051.926313067572,35.35226200176107,23.3445079829414,-12.007754018819668
2018-01-08 → 2019-01-08,6694.598724167442,31396.444360089477,15133.761560768795,12035.065188132052,34.16409834708429,21.619706246558238,-12.544392100526053
2018-01-09 → 2019-01-09,6817.056260699874,31396.444360089477,15183.703666276037,12062.248016933521,34.039282718286785,21.339797943806037,-12.699484774480748
2018-01-10 → 2019-01-10,6817.056260699874,31396.444360089477,15240.013345709338,12323.82694341898,34.2683758072018,22.404018604742486,-11.864357202459313
2018-01-11 → 2019-01-11,7026.801947562095,31396.444360089477,15296.777098955032,12358.654278438693,33.935562169519976,21.879074959818542,-12.056487209701434
2018-01-12 → 2019-01-12,7026.801947562095,31396.444360089477,15351.595912800987,12321.8941258305,34.16050931038477,21.728230922036122,-12.432278388348646
2018-01-13 → 2019-01-13,7026.801947562095,31396.444360089477,15409.65302451156,12468.89698549655,34.39874469655821,22.331452164176643,-12.067292532381568
2018-01-14 → 2019-01-14,7309.372233038978,31396.444360089477,15464.964100450088,11924.644871637081,33.858792900994125,19.160787223346315,-14.69800567764781
2018-01-15 → 2019-01-15,7357.43343237105,31396.444360089477,15521.285148390121,12776.613303768736,33.9608469773008,22.54327304768203,-11.417573929618765
2018-01-16 → 2019-01-16,7831.832029555435,31396.444360089477,15576.93143254672,12799.139926773054,32.86750188949855,21.07952308971868,-11.787978799779868
2018-01-17 → 2019-01-17,7831.832029555435,31396.444360089477,15628.088379484641,12854.899183931777,33.08459413875926,21.31614593917024,-11.768448199589017
2018-01-18 → 2019-01-18,7831.832029555435,31396.444360089477,15679.302430922477,12885.31355597854,33.3019287196107,21.445213931548597,-11.856714788062103
2018-01-19 → 2019-01-19,7831.832029555435,31396.444360089477,15729.105932213028,12912.044643563853,33.51327741736126,21.558651348682236,-11.954626068679023
2018-01-20 → 2019-01-20,7831.832029555435,31396.444360089477,15782.441961476794,12979.066662603142,33.73961693237486,21.843069433305015,-11.896547499069843
2018-01-21 → 2019-01-21,8608.846026879573,31396.444360089477,15838.320986993534,13001.783637392025,31.725480036998714,19.27775602447024,-12.447724012528475
2018-01-22 → 2019-01-22,8608.846026879573,31396.444360089477,15890.777944238658,13051.17251424628,31.955679623976142,19.494491795094547,-12.461187828881595
2018-01-23 → 2019-01-23,8608.846026879573,31396.444360089477,15942.255294832687,13055.94010105393,32.18158035226398,19.51541364362784,-12.666166708636137
2018-01-24 → 2019-01-24,8608.846026879573,31396.444360089477,15993.657012582125,13022.121918375888,32.407149177016024,19.367007558074032,-13.040141618941991
2018-01-25 → 2019-01-25,8608.846026879573,31396.444360089477,16046.0375068684,13116.474199219801,32.637013217624194,19.781058567154737,-12.855954650469457
2018-01-26 → 2019-01-26,8608.846026879573,31396.444360089477,16098.302295751626,13165.911708048134,32.86636950220929,19.998007751993946,-12.868361750215342
2018-01-27 → 2019-01-27,8608.846026879573,31396.444360089477,16150.777758729811,13181.414984536334,33.096650298855195,20.06604158452647,-13.030608714328725
2018-01-28 → 2019-01-28,8608.846026879573,31396.444360089477,16206.183417871507,13280.028146649725,33.33978982734578,20.498790839939122,-12.84099898740666
2018-01-29 → 2019-01-29,8665.013949999768,31396.444360089477,16263.120821486695,13396.86135743638,33.42555542881448,20.816320495767425,-12.609234933047052
2018-01-30 → 2019-01-30,8665.013949999768,31396.444360089477,16318.052228249458,13248.48876960406,33.667209410863855,20.163600516621443,-13.503608894242412
2018-01-31 → 2019-01-31,8665.013949999768,31396.444360089477,16370.740107389045,13524.919514574569,33.89899367691779,21.379673328510176,-12.519320348407614
2018-02-01 → 2019-02-01,8665.013949999768,31396.444360089477,16422.86306342347,13530.403229853884,34.128292735947916,21.40379726255386,-12.724495473394057
2018-02-02 → 2019-02-02,8665.013949999768,31396.444360089477,16471.561060409345,13571.303947093358,34.34252473150355,21.583727502321434,-12.758797229182118
2018-02-03 → 2019-02-03,8665.013949999768,31396.444360089477,16520.517091256683,13641.553025935664,34.557891868389085,21.892766914162074,-12.66512495422701
