window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2016-01-01 → 2017-01-01,100275.01847945956,272969.2071151107,186496.47341994694,210356.07864776033,49.927247478139954,63.74334946530769,13.816101987167734
2016-01-02 → 2017-01-02,98320.88709000811,272969.2071151107,186137.52393541028,202106.7101181951,50.28198200405254,59.42560627738626,9.143624273333721
2016-01-03 → 2017-01-03,96842.07173230938,272969.2071151107,185774.20138438346,201239.59446354496,50.493144885815376,59.27395713575542,8.780812249940041
2016-01-04 → 2017-01-04,88144.83325140158,272969.2071151107,185380.9052563922,201638.2697860698,52.60998318148948,61.406098212110884,8.7961150306214
2016-01-05 → 2017-01-05,88144.83325140158,272969.2071151107,185024.61791834253,199736.41651655192,52.41721242804308,60.377092551352995,7.959880123309915
2016-01-06 → 2017-01-06,88144.83325140158,272969.2071151107,184700.1657403096,199219.7800288883,52.241666220986986,60.09756422028742,7.855897999300431
2016-01-07 → 2017-01-07,88144.83325140158,272969.2071151107,184369.08755776478,200616.3610054752,52.06253498649463,60.85319019503941,8.790655208544777
2016-01-08 → 2017-01-08,88144.83325140158,272969.2071151107,184074.33291946893,199956.596365721,51.90305675744179,60.496221779044276,8.593165021602488
2016-01-09 → 2017-01-09,88144.83325140158,272969.2071151107,183775.91467847806,201025.70670816168,51.741596320837836,61.074668398443656,9.33307207760582
2016-01-10 → 2017-01-10,88144.83325140158,272969.2071151107,183470.78072528774,202539.7357270379,51.57650232007832,61.89384012738059,10.317337807302273
2016-01-11 → 2017-01-11,88144.83325140158,272969.2071151107,183209.00233455587,195370.6992142548,51.43486602760268,58.01500295730604,6.580136929703357
2016-01-12 → 2017-01-12,88144.83325140158,272969.2071151107,182939.78740908127,194867.16765664116,51.28920616692157,57.74256510341944,6.453358936497864
2016-01-13 → 2017-01-13,88144.83325140158,272969.2071151107,182652.5746569847,204361.7180902754,51.13380850692011,62.879631300454456,11.745822793534344
2016-01-14 → 2017-01-14,88144.83325140158,272969.2071151107,182354.5620087385,188115.96535770857,50.97256751796593,54.08979888119434,3.117231363228413
2016-01-15 → 2017-01-15,88144.83325140158,272969.2071151107,182051.08767611842,187176.04149236577,50.808371461852765,53.58124914519691,2.7728776833441415
2016-01-16 → 2017-01-16,88144.83325140158,272969.2071151107,181638.25567589968,188590.7180464851,50.585006982596816,54.34666580780794,3.7616588252111214
2016-01-17 → 2017-01-17,88144.83325140158,272969.2071151107,181236.85877774152,188328.03318191273,50.3678295131067,54.20453906387206,3.836709550765363
2016-01-18 → 2017-01-18,88144.83325140158,272969.2071151107,180833.65376554205,186788.7337142789,50.149673755957046,53.37169465301047,3.222020897053426
2016-01-19 → 2017-01-19,88144.83325140158,272969.2071151107,180427.6621177894,186490.57014497314,49.930010277993894,53.2103720075862,3.2803617295923075
2016-01-20 → 2017-01-20,88144.83325140158,272969.2071151107,180011.51207552457,188031.03378406653,49.7048505582203,54.04384629828195,4.338995740061648
2016-01-21 → 2017-01-21,88144.83325140158,272969.2071151107,179658.4539306847,185734.34852222132,49.51382697325729,52.801215137773426,3.2873881645161376
2016-01-22 → 2017-01-22,88144.83325140158,272969.2071151107,179288.1118690071,185072.00314378244,49.31345185284666,52.442850402326094,3.1293985494794327
2016-01-23 → 2017-01-23,88144.83325140158,272969.2071151107,178869.48798663827,185191.55110737536,49.08695365154475,52.50753232770953,3.420578676164773
2016-01-24 → 2017-01-24,88144.83325140158,272969.2071151107,178471.19459783638,184885.88255925482,48.87145534876376,52.34214908212854,3.470693733364783
2016-01-25 → 2017-01-25,88144.83325140158,272969.2071151107,178100.02753893973,185886.5654345452,48.67063386015948,52.88357273441602,4.212938874256544
2016-01-26 → 2017-01-26,88144.83325140158,272969.2071151107,177702.15213039084,184086.43725767516,48.455361707341424,51.90960586022146,3.4542441528800367
2016-01-27 → 2017-01-27,88144.83325140158,272969.2071151107,177301.55531699804,180643.07937886374,48.238617127057765,50.046562687490045,1.8079455604322803
2016-01-28 → 2017-01-28,88144.83325140158,272969.2071151107,176906.36533985625,193837.38941492772,48.02479793812697,57.18539928151718,9.160601343390205
2016-01-29 → 2017-01-29,88144.83325140158,272969.2071151107,176484.82036363002,181981.94415022936,47.796719266784045,50.77096106816732,2.974241801383272
2016-01-30 → 2017-01-30,88144.83325140158,272969.2071151107,176061.94953927456,176986.53500621073,47.56792323976908,48.068174071197824,0.5002508314287439
2016-01-31 → 2017-01-31,88144.83325140158,272969.2071151107,175621.03759689184,176350.59475506586,47.329365990437964,47.72409594023993,0.3947299498019632
2016-02-01 → 2017-02-01,88144.83325140158,271666.63190916245,175153.1718576791,177402.28749669495,47.41035628608583,48.63588679824591,1.2255305121600841
2016-02-02 → 2017-02-02,88144.83325140158,271666.63190916245,174689.56397988112,175702.17698879956,47.15773895060378,47.70950610650813,0.5517671559043507
2016-02-03 → 2017-02-03,88144.83325140158,271666.63190916245,174227.28691707904,175418.86091686692,46.90584676875776,47.5551287660479,0.6492819972901387
2016-02-04 → 2017-02-04,88144.83325140158,269676.7261346181,173750.62530778316,176826.78577905314,47.15743922278918,48.85199571223698,1.6945564894477982
2016-02-05 → 2017-02-05,88144.83325140158,269676.7261346181,173320.03043205698,174724.93839161063,46.92023854753197,47.69415652813577,0.7739179806037981
2016-02-06 → 2017-02-06,88144.83325140158,269676.7261346181,172877.45448803622,178138.23151345877,46.67643789245618,49.57442840082758,2.8979905083714
2016-02-07 → 2017-02-07,88144.83325140158,269676.7261346181,172408.739359175,172974.27180576118,46.41823801285555,46.729771395559816,0.311533382704269
2016-02-08 → 2017-02-08,88144.83325140158,269676.7261346181,171941.34580854315,172733.34490312904,46.160766147604555,46.597052621571635,0.43628647396707976
2016-02-09 → 2017-02-09,88144.83325140158,267729.2928968212,171483.7936330867,172644.14674712793,46.406554635202646,47.05268688758812,0.6461322523854776
2016-02-10 → 2017-02-10,88144.83325140158,264803.0427971326,171027.68141976124,172650.5692962631,46.917065661137016,47.83572541698706,0.9186597558500438
2016-02-11 → 2017-02-11,88144.83325140158,264803.0427971326,170578.30953782197,172740.31991347676,46.662692041538584,47.886530085190394,1.22383804365181
2016-02-12 → 2017-02-12,88144.83325140158,261578.47259009586,170127.5500022797,173168.13355335445,47.270366385367765,49.02353466498674,1.7531682796189756
2016-02-13 → 2017-02-13,88144.83325140158,256674.54400532218,169687.29444132908,173888.81076069307,48.384620625731735,50.87766253541546,2.4930419096837255
2016-02-14 → 2017-02-14,88144.83325140158,251689.8114505232,169257.1005626437,174809.64615112933,49.59630567958201,52.99142404373332,3.3951183641513083
2016-02-15 → 2017-02-15,88144.83325140158,251689.8114505232,168854.9606051403,175022.31287895452,49.350416162256835,53.12145966461692,3.7710435023600866
2016-02-16 → 2017-02-16,88144.83325140158,251689.8114505232,168435.3186451904,176089.51871258227,49.09382500025919,53.774005432380214,4.680180432121027
2016-02-17 → 2017-02-17,88144.83325140158,251689.8114505232,168023.27291295203,176995.08919263788,48.84187857134672,54.32771884506173,5.485840273715013
2016-02-18 → 2017-02-18,88144.83325140158,251689.8114505232,167624.10213999957,177318.42364116368,48.59780456959629,54.525422530057874,5.927617960461582
2016-02-19 → 2017-02-19,88144.83325140158,251689.8114505232,167234.67811188666,177163.63762661448,48.3596902401922,54.43077822104049,6.07108798084829
2016-02-20 → 2017-02-20,88144.83325140158,251689.8114505232,166835.62225223015,182233.10731481737,48.11568650247386,57.5305185762782,9.414832073804341
2016-02-21 → 2017-02-21,88144.83325140158,251689.8114505232,166458.00278892898,183299.0759752273,47.884790104761535,58.18230787127695,10.297517766515412
2016-02-22 → 2017-02-22,88144.83325140158,251689.8114505232,166078.1183243448,174609.62194341296,47.65250876615531,52.86911872447562,5.216609958320312
2016-02-23 → 2017-02-23,84114.06710114426,251689.8114505232,165684.55177646494,173429.97482241213,48.67678493210464,53.29882798255873,4.622043050454089
2016-02-24 → 2017-02-24,84114.06710114426,251689.8114505232,165265.68698425943,173296.38657015696,48.426829430589926,53.21910985105119,4.7922804204612675
2016-02-25 → 2017-02-25,84114.06710114426,251689.8114505232,164859.64767736723,172827.61044761632,48.18452747426046,52.939370009011,4.754842534750537
2016-02-26 → 2017-02-26,84114.06710114426,251689.8114505232,164447.72546434795,173286.76656086248,47.93871492267755,53.213369157890725,5.274654235213177
2016-02-27 → 2017-02-27,83741.40168431975,251689.8114505232,164044.81661026474,172241.34748114797,47.81433479348405,52.6947209086568,4.8803861151727475
2016-02-28 → 2017-02-28,83741.40168431975,251689.8114505232,163644.740461663,170896.04222714368,47.57612107704656,51.893697989846764,4.317576912800206
2016-02-29 → 2017-02-28,83741.40168431975,251689.8114505232,163461.003818709,169291.71064170316,47.466720432402305,50.93844536931057,3.4717249369082666
2016-03-01 → 2017-03-01,81402.75502744006,251689.8114505232,163059.29716565687,167024.26662220943,47.95228941848566,50.280692727484954,2.3284033089992917
2016-03-02 → 2017-03-02,79180.86023057195,251689.8114505232,162644.35578767446,166712.10900416737,48.38212450244707,50.74011995006096,2.357995447613888
2016-03-03 → 2017-03-03,77557.66620995408,251689.8114505232,162210.46406959204,163856.10692247475,48.61411300175932,49.55916702989939,0.9450540281400706
