window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2018-01-01 → 2019-01-01,5846.725992123569,31396.444360089477,14767.937007549512,14767.937007549512,34.917062047193866,34.917062047193866,0.0
2018-01-02 → 2019-01-02,5846.725992123569,31396.444360089477,14817.734901493854,14817.734901493852,35.11196789009653,35.11196789009652,-7.105427357601002e-15
2018-01-03 → 2019-01-03,5846.725992123569,31396.444360089477,14871.414334433759,14871.414334433759,35.32206583390482,35.32206583390482,0.0
2018-01-04 → 2019-01-04,5846.725992123569,31396.444360089477,14924.595887742842,14924.595887742842,35.53021510797182,35.53021510797182,0.0
2018-01-05 → 2019-01-05,5846.725992123569,31396.444360089477,14978.393221092227,14978.393221092225,35.74077450661018,35.74077450661017,-7.105427357601002e-15
2018-01-06 → 2019-01-06,5846.725992123569,31396.444360089477,15029.848123319223,15029.84812331922,35.942165776314,35.94216577631399,-7.105427357601002e-15
2018-01-07 → 2019-01-07,6160.786042591422,31396.444360089477,15082.162088862544,15082.162088862544,35.35226200176107,35.35226200176107,0.0
2018-01-08 → 2019-01-08,6694.598724167442,31396.444360089477,15133.761560768795,15133.761560768791,34.16409834708429,34.16409834708428,-1.4210854715202004e-14
2018-01-09 → 2019-01-09,6817.056260699874,31396.444360089477,15183.703666276037,15183.703666276038,34.039282718286785,34.03928271828679,7.105427357601002e-15
2018-01-10 → 2019-01-10,6817.056260699874,31396.444360089477,15240.013345709338,15240.013345709336,34.2683758072018,34.26837580720179,-7.105427357601002e-15
2018-01-11 → 2019-01-11,7026.801947562095,31396.444360089477,15296.777098955032,15296.777098955032,33.935562169519976,33.935562169519976,0.0
2018-01-12 → 2019-01-12,7026.801947562095,31396.444360089477,15351.595912800987,15351.595912800985,34.16050931038477,34.16050931038476,-7.105427357601002e-15
2018-01-13 → 2019-01-13,7026.801947562095,31396.444360089477,15409.65302451156,15409.653024511563,34.39874469655821,34.398744696558225,1.4210854715202004e-14
2018-01-14 → 2019-01-14,7309.372233038978,31396.444360089477,15464.964100450088,15464.964100450086,33.858792900994125,33.858792900994125,0.0
2018-01-15 → 2019-01-15,7357.43343237105,31396.444360089477,15521.285148390121,15521.28514839012,33.9608469773008,33.96084697730078,-1.4210854715202004e-14
2018-01-16 → 2019-01-16,7831.832029555435,31396.444360089477,15576.93143254672,15576.931432546717,32.86750188949855,32.867501889498534,-1.4210854715202004e-14
2018-01-17 → 2019-01-17,7831.832029555435,31396.444360089477,15628.088379484641,15628.088379484643,33.08459413875926,33.08459413875926,0.0
2018-01-18 → 2019-01-18,7831.832029555435,31396.444360089477,15679.302430922477,15679.302430922475,33.3019287196107,33.30192871961069,-7.105427357601002e-15
2018-01-19 → 2019-01-19,7831.832029555435,31396.444360089477,15729.105932213028,15729.105932213026,33.51327741736126,33.51327741736125,-7.105427357601002e-15
2018-01-20 → 2019-01-20,7831.832029555435,31396.444360089477,15782.441961476794,15782.441961476794,33.73961693237486,33.73961693237486,0.0
2018-01-21 → 2019-01-21,8608.846026879573,31396.444360089477,15838.320986993534,15838.320986993536,31.725480036998714,31.725480036998725,1.0658141036401503e-14
2018-01-22 → 2019-01-22,8608.846026879573,31396.444360089477,15890.777944238658,15890.77794423866,31.955679623976142,31.955679623976152,1.0658141036401503e-14
2018-01-23 → 2019-01-23,8608.846026879573,31396.444360089477,15942.255294832687,15942.255294832681,32.18158035226398,32.18158035226396,-2.1316282072803006e-14
2018-01-24 → 2019-01-24,8608.846026879573,31396.444360089477,15993.657012582125,15993.657012582124,32.407149177016024,32.407149177016024,0.0
2018-01-25 → 2019-01-25,8608.846026879573,31396.444360089477,16046.0375068684,16046.037506868399,32.637013217624194,32.63701321762419,-7.105427357601002e-15
2018-01-26 → 2019-01-26,8608.846026879573,31396.444360089477,16098.302295751626,16098.302295751624,32.86636950220929,32.86636950220928,-7.105427357601002e-15
2018-01-27 → 2019-01-27,8608.846026879573,31396.444360089477,16150.777758729811,16150.777758729811,33.096650298855195,33.096650298855195,0.0
