window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2016-01-01 → 2017-01-01,100275.01847945956,272969.2071151107,186496.47341994694,186496.4734199469,49.927247478139954,49.92724747813993,-2.1316282072803006e-14
2016-01-02 → 2017-01-02,98320.88709000811,272969.2071151107,186137.52393541028,186137.52393541028,50.28198200405254,50.28198200405254,0.0
2016-01-03 → 2017-01-03,96842.07173230938,272969.2071151107,185774.20138438346,185774.20138438343,50.493144885815376,50.49314488581537,-7.105427357601002e-15
2016-01-04 → 2017-01-04,88144.83325140158,272969.2071151107,185380.9052563922,185380.90525639214,52.60998318148948,52.60998318148945,-3.552713678800501e-14
2016-01-05 → 2017-01-05,88144.83325140158,272969.2071151107,185024.61791834253,185024.61791834253,52.41721242804308,52.41721242804308,0.0
2016-01-06 → 2017-01-06,88144.83325140158,272969.2071151107,184700.1657403096,184700.1657403096,52.241666220986986,52.241666220986986,0.0
2016-01-07 → 2017-01-07,88144.83325140158,272969.2071151107,184369.08755776478,184369.08755776472,52.06253498649463,52.062534986494605,-2.842170943040401e-14
2016-01-08 → 2017-01-08,88144.83325140158,272969.2071151107,184074.33291946893,184074.33291946887,51.90305675744179,51.90305675744176,-2.842170943040401e-14
2016-01-09 → 2017-01-09,88144.83325140158,272969.2071151107,183775.91467847806,183775.91467847803,51.741596320837836,51.741596320837814,-2.1316282072803006e-14
2016-01-10 → 2017-01-10,88144.83325140158,272969.2071151107,183470.78072528774,183470.78072528768,51.57650232007832,51.57650232007829,-2.842170943040401e-14
2016-01-11 → 2017-01-11,88144.83325140158,272969.2071151107,183209.00233455587,183209.00233455584,51.43486602760268,51.434866027602666,-1.4210854715202004e-14
2016-01-12 → 2017-01-12,88144.83325140158,272969.2071151107,182939.78740908127,182939.7874090813,51.28920616692157,51.28920616692159,1.4210854715202004e-14
2016-01-13 → 2017-01-13,88144.83325140158,272969.2071151107,182652.5746569847,182652.57465698468,51.13380850692011,51.1338085069201,-1.4210854715202004e-14
2016-01-14 → 2017-01-14,88144.83325140158,272969.2071151107,182354.5620087385,182354.5620087385,50.97256751796593,50.97256751796593,0.0
2016-01-15 → 2017-01-15,88144.83325140158,272969.2071151107,182051.08767611842,182051.08767611842,50.808371461852765,50.808371461852765,0.0
2016-01-16 → 2017-01-16,88144.83325140158,272969.2071151107,181638.25567589968,181638.25567589968,50.585006982596816,50.585006982596816,0.0
2016-01-17 → 2017-01-17,88144.83325140158,272969.2071151107,181236.85877774152,181236.8587777415,50.3678295131067,50.36782951310668,-2.1316282072803006e-14
2016-01-18 → 2017-01-18,88144.83325140158,272969.2071151107,180833.65376554205,180833.65376554205,50.149673755957046,50.149673755957046,0.0
2016-01-19 → 2017-01-19,88144.83325140158,272969.2071151107,180427.6621177894,180427.66211778938,49.930010277993894,49.93001027799388,-1.4210854715202004e-14
2016-01-20 → 2017-01-20,88144.83325140158,272969.2071151107,180011.51207552457,180011.5120755246,49.7048505582203,49.704850558220315,1.4210854715202004e-14
2016-01-21 → 2017-01-21,88144.83325140158,272969.2071151107,179658.4539306847,179658.45393068466,49.51382697325729,49.513826973257274,-1.4210854715202004e-14
2016-01-22 → 2017-01-22,88144.83325140158,272969.2071151107,179288.1118690071,179288.11186900706,49.31345185284666,49.31345185284665,-1.4210854715202004e-14
2016-01-23 → 2017-01-23,88144.83325140158,272969.2071151107,178869.48798663827,178869.48798663827,49.08695365154475,49.08695365154475,0.0
2016-01-24 → 2017-01-24,88144.83325140158,272969.2071151107,178471.19459783638,178471.19459783635,48.87145534876376,48.871455348763746,-1.4210854715202004e-14
2016-01-25 → 2017-01-25,88144.83325140158,272969.2071151107,178100.02753893973,178100.02753893973,48.67063386015948,48.67063386015948,0.0
2016-01-26 → 2017-01-26,88144.83325140158,272969.2071151107,177702.15213039084,177702.15213039084,48.455361707341424,48.455361707341424,0.0
2016-01-27 → 2017-01-27,88144.83325140158,272969.2071151107,177301.55531699804,177301.55531699804,48.238617127057765,48.238617127057765,0.0
2016-01-28 → 2017-01-28,88144.83325140158,272969.2071151107,176906.36533985625,176906.36533985625,48.02479793812697,48.02479793812697,0.0
2016-01-29 → 2017-01-29,88144.83325140158,272969.2071151107,176484.82036363002,176484.82036363002,47.796719266784045,47.796719266784045,0.0
2016-01-30 → 2017-01-30,88144.83325140158,272969.2071151107,176061.94953927456,176061.94953927453,47.56792323976908,47.56792323976906,-2.1316282072803006e-14
2016-01-31 → 2017-01-31,88144.83325140158,272969.2071151107,175621.03759689184,175621.03759689184,47.329365990437964,47.329365990437964,0.0
2016-02-01 → 2017-02-01,88144.83325140158,271666.63190916245,175153.1718576791,175153.17185767906,47.41035628608583,47.410356286085815,-1.4210854715202004e-14
2016-02-02 → 2017-02-02,88144.83325140158,271666.63190916245,174689.56397988112,174689.56397988112,47.15773895060378,47.15773895060378,0.0
2016-02-03 → 2017-02-03,88144.83325140158,271666.63190916245,174227.28691707904,174227.28691707904,46.90584676875776,46.90584676875776,0.0
