window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2016-01-01 → 2017-01-01,100275.01847945956,272969.2071151107,186496.47341994694,191182.63405911683,49.927247478139954,52.640807602074815,2.7135601239348617
2016-01-02 → 2017-01-02,98320.88709000811,272969.2071151107,186137.52393541028,190876.2322734771,50.28198200405254,52.9952679591569,2.713285955104361
2016-01-03 → 2017-01-03,96842.07173230938,272969.2071151107,185774.20138438346,190555.1033041518,50.493144885815376,53.20760561293578,2.7144607271204038
2016-01-04 → 2017-01-04,88144.83325140158,272969.2071151107,185380.9052563922,190217.17635485512,52.60998318148948,55.22666787375265,2.6166846922631706
2016-01-05 → 2017-01-05,88144.83325140158,272969.2071151107,185024.61791834253,189945.9315416363,52.41721242804308,55.079909733823094,2.6626973057800143
2016-01-06 → 2017-01-06,88144.83325140158,272969.2071151107,184700.1657403096,189632.90659630008,52.241666220986986,54.910546278780615,2.668880057793629
2016-01-07 → 2017-01-07,88144.83325140158,272969.2071151107,184369.08755776478,189270.64254674327,52.06253498649463,54.714541800592066,2.652006814097433
2016-01-08 → 2017-01-08,88144.83325140158,272969.2071151107,184074.33291946893,188964.37049349473,51.90305675744179,54.54883202603907,2.6457752685972835
2016-01-09 → 2017-01-09,88144.83325140158,272969.2071151107,183775.91467847806,188550.35635612445,51.741596320837836,54.32482794653624,2.583231625698403
2016-01-10 → 2017-01-10,88144.83325140158,272969.2071151107,183470.78072528774,188127.27689806843,51.57650232007832,54.09591903738554,2.519416717307223
2016-01-11 → 2017-01-11,88144.83325140158,272969.2071151107,183209.00233455587,187739.74974030023,51.43486602760268,53.88624584890556,2.4513798213028792
2016-01-12 → 2017-01-12,88144.83325140158,272969.2071151107,182939.78740908127,187278.86996571324,51.28920616692157,53.636884920499625,2.3476787535780517
2016-01-13 → 2017-01-13,88144.83325140158,272969.2071151107,182652.5746569847,186785.46056288737,51.13380850692011,53.36992370076911,2.2361151938489954
2016-01-14 → 2017-01-14,88144.83325140158,272969.2071151107,182354.5620087385,186292.20167333272,50.97256751796593,53.10304391687307,2.130476398907142
2016-01-15 → 2017-01-15,88144.83325140158,272969.2071151107,182051.08767611842,185797.65566904505,50.808371461852765,52.835467734170926,2.027096272318161
2016-01-16 → 2017-01-16,88144.83325140158,272969.2071151107,181638.25567589968,185050.25801818684,50.585006982596816,52.431085111233244,1.846078128636428
2016-01-17 → 2017-01-17,88144.83325140158,272969.2071151107,181236.85877774152,184795.8128574823,50.3678295131067,52.29341649351501,1.9255869804083119
2016-01-18 → 2017-01-18,88144.83325140158,272969.2071151107,180833.65376554205,184310.16932308272,50.149673755957046,52.03065702935598,1.8809832733989325
2016-01-19 → 2017-01-19,88144.83325140158,272969.2071151107,180427.6621177894,183895.68583005958,49.930010277993894,51.80639900301537,1.876388725021478
2016-01-20 → 2017-01-20,88144.83325140158,272969.2071151107,180011.51207552457,183464.55840398383,49.7048505582203,51.57313570712905,1.8682851489087469
2016-01-21 → 2017-01-21,88144.83325140158,272969.2071151107,179658.4539306847,183247.68941942847,49.51382697325729,51.45579783657562,1.941970863318332
2016-01-22 → 2017-01-22,88144.83325140158,272969.2071151107,179288.1118690071,182493.02992003944,49.31345185284666,51.04748616013758,1.7340343072909192
2016-01-23 → 2017-01-23,88144.83325140158,272969.2071151107,178869.48798663827,181762.33400413653,49.08695365154475,50.652140080706666,1.565186429161912
2016-01-24 → 2017-01-24,88144.83325140158,272969.2071151107,178471.19459783638,181419.35260308586,48.87145534876376,50.466568560089165,1.5951132113254047
